# test name,category,real vulnerability,cwe,Benchmark version: 1.2,2016-06-1,Full Category Name
BenchmarkTest00081,weakrand,True,330,,,Weak Randomness
BenchmarkTest00082,weakrand,True,330,,,Weak Randomness
BenchmarkTest00083,weakrand,True,330,,,Weak Randomness
BenchmarkTest00084,weakrand,True,330,,,Weak Randomness
BenchmarkTest00085,weakrand,True,330,,,Weak Randomness
BenchmarkTest00086,weakrand,True,330,,,Weak Randomness
BenchmarkTest00087,securecookie,True,614,,,Secure Cookie Flag
BenchmarkTest00088,securecookie,False,614,,,Secure Cookie Flag
BenchmarkTest00089,securecookie,False,614,,,Secure Cookie Flag
BenchmarkTest00090,cmdi,False,78,,,Command Injection
BenchmarkTest00091,cmdi,True,78,,,Command Injection
BenchmarkTest00092,cmdi,True,78,,,Command Injection
BenchmarkTest00093,cmdi,False,78,,,Command Injection
BenchmarkTest00094,weakrand,False,330,,,Weak Randomness
BenchmarkTest00095,weakrand,False,330,,,Weak Randomness
BenchmarkTest00096,weakrand,False,330,,,Weak Randomness
BenchmarkTest00097,trustbound,False,501,,,Trust Boundary Violation
BenchmarkTest00098,trustbound,True,501,,,Trust Boundary Violation
BenchmarkTest00099,trustbound,False,501,,,Trust Boundary Violation
BenchmarkTest00100,sqli,True,89,,,SQL Injection
BenchmarkTest00101,sqli,True,89,,,SQL Injection
BenchmarkTest00102,sqli,True,89,,,SQL Injection
BenchmarkTest00103,sqli,True,89,,,SQL Injection
BenchmarkTest00104,sqli,False,89,,,SQL Injection
BenchmarkTest00105,sqli,False,89,,,SQL Injection
BenchmarkTest00106,sqli,True,89,,,SQL Injection
BenchmarkTest00107,sqli,False,89,,,SQL Injection
BenchmarkTest00108,sqli,True,89,,,SQL Injection
BenchmarkTest00109,sqli,True,89,,,SQL Injection
BenchmarkTest00110,sqli,False,89,,,SQL Injection
BenchmarkTest00111,sqli,True,89,,,SQL Injection
BenchmarkTest00112,sqli,True,89,,,SQL Injection
BenchmarkTest00113,sqli,False,89,,,SQL Injection
BenchmarkTest00114,sqli,False,89,,,SQL Injection
BenchmarkTest00115,sqli,True,89,,,SQL Injection
BenchmarkTest00116,xpathi,False,643,,,XPATH Injection
BenchmarkTest00117,xpathi,False,643,,,XPATH Injection
BenchmarkTest00118,xpathi,False,643,,,XPATH Injection
BenchmarkTest00119,crypto,True,327,,,Weak Cryptography
BenchmarkTest00120,crypto,True,327,,,Weak Cryptography
BenchmarkTest00121,crypto,False,327,,,Weak Cryptography
BenchmarkTest00122,crypto,False,327,,,Weak Cryptography
BenchmarkTest00123,crypto,True,327,,,Weak Cryptography
BenchmarkTest00124,crypto,True,327,,,Weak Cryptography
BenchmarkTest00125,crypto,True,327,,,Weak Cryptography
BenchmarkTest00126,crypto,False,327,,,Weak Cryptography
BenchmarkTest00127,crypto,False,327,,,Weak Cryptography
BenchmarkTest00128,crypto,False,327,,,Weak Cryptography
BenchmarkTest00129,crypto,False,327,,,Weak Cryptography
BenchmarkTest00130,crypto,False,327,,,Weak Cryptography
BenchmarkTest00131,pathtraver,False,22,,,Path Traversal
BenchmarkTest00132,pathtraver,False,22,,,Path Traversal
BenchmarkTest00133,pathtraver,True,22,,,Path Traversal
BenchmarkTest00134,pathtraver,False,22,,,Path Traversal
BenchmarkTest00135,pathtraver,False,22,,,Path Traversal
BenchmarkTest00136,pathtraver,False,22,,,Path Traversal
BenchmarkTest00137,pathtraver,False,22,,,Path Traversal
BenchmarkTest00138,ldapi,False,90,,,LDAP Injection
BenchmarkTest00139,ldapi,False,90,,,LDAP Injection
BenchmarkTest00140,weakrand,True,330,,,Weak Randomness
BenchmarkTest00141,hash,True,328,,,Weak Hashing
BenchmarkTest00142,hash,False,328,,,Weak Hashing
BenchmarkTest00143,hash,True,328,,,Weak Hashing
BenchmarkTest00144,xss,True,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00145,xss,True,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00146,xss,True,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00147,xss,False,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00148,xss,True,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00149,xss,True,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00150,xss,True,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00151,xss,False,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00152,xss,True,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00153,xss,True,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00154,xss,True,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00155,xss,True,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00156,xss,True,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00157,xss,True,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00158,cmdi,False,78,,,Command Injection
BenchmarkTest00159,cmdi,True,78,,,Command Injection
BenchmarkTest00160,weakrand,True,330,,,Weak Randomness
BenchmarkTest00161,weakrand,True,330,,,Weak Randomness
BenchmarkTest00162,weakrand,True,330,,,Weak Randomness
BenchmarkTest00163,weakrand,True,330,,,Weak Randomness
BenchmarkTest00164,weakrand,True,330,,,Weak Randomness
BenchmarkTest00165,weakrand,True,330,,,Weak Randomness
BenchmarkTest00166,weakrand,True,330,,,Weak Randomness
BenchmarkTest00167,weakrand,True,330,,,Weak Randomness
BenchmarkTest00168,weakrand,True,330,,,Weak Randomness
BenchmarkTest00169,securecookie,True,614,,,Secure Cookie Flag
BenchmarkTest00170,securecookie,True,614,,,Secure Cookie Flag
BenchmarkTest00171,cmdi,False,78,,,Command Injection
BenchmarkTest00172,cmdi,True,78,,,Command Injection
BenchmarkTest00173,cmdi,True,78,,,Command Injection
BenchmarkTest00174,cmdi,True,78,,,Command Injection
BenchmarkTest00175,cmdi,False,78,,,Command Injection
BenchmarkTest00176,cmdi,True,78,,,Command Injection
BenchmarkTest00177,cmdi,False,78,,,Command Injection
BenchmarkTest00178,weakrand,False,330,,,Weak Randomness
BenchmarkTest00179,weakrand,False,330,,,Weak Randomness
BenchmarkTest00180,weakrand,False,330,,,Weak Randomness
BenchmarkTest00181,weakrand,False,330,,,Weak Randomness
BenchmarkTest00182,weakrand,False,330,,,Weak Randomness
BenchmarkTest00183,weakrand,False,330,,,Weak Randomness
BenchmarkTest00184,weakrand,False,330,,,Weak Randomness
BenchmarkTest00185,weakrand,False,330,,,Weak Randomness
BenchmarkTest00186,weakrand,False,330,,,Weak Randomness
BenchmarkTest00187,weakrand,False,330,,,Weak Randomness
BenchmarkTest00188,weakrand,False,330,,,Weak Randomness
BenchmarkTest00189,trustbound,False,501,,,Trust Boundary Violation
BenchmarkTest00190,sqli,False,89,,,SQL Injection
BenchmarkTest00191,sqli,False,89,,,SQL Injection
BenchmarkTest00192,sqli,True,89,,,SQL Injection
BenchmarkTest00193,sqli,True,89,,,SQL Injection
BenchmarkTest00194,sqli,True,89,,,SQL Injection
BenchmarkTest00195,sqli,True,89,,,SQL Injection
BenchmarkTest00196,sqli,True,89,,,SQL Injection
BenchmarkTest00197,sqli,False,89,,,SQL Injection
BenchmarkTest00198,sqli,True,89,,,SQL Injection
BenchmarkTest00199,sqli,True,89,,,SQL Injection
BenchmarkTest00200,sqli,False,89,,,SQL Injection
BenchmarkTest00201,sqli,False,89,,,SQL Injection
BenchmarkTest00202,sqli,False,89,,,SQL Injection
BenchmarkTest00203,sqli,True,89,,,SQL Injection
BenchmarkTest00204,sqli,True,89,,,SQL Injection
BenchmarkTest00205,sqli,False,89,,,SQL Injection
BenchmarkTest00206,sqli,False,89,,,SQL Injection
BenchmarkTest00207,xpathi,True,643,,,XPATH Injection
BenchmarkTest00208,crypto,True,327,,,Weak Cryptography
BenchmarkTest00209,crypto,False,327,,,Weak Cryptography
BenchmarkTest00210,crypto,True,327,,,Weak Cryptography
BenchmarkTest00211,crypto,False,327,,,Weak Cryptography
BenchmarkTest00212,crypto,False,327,,,Weak Cryptography
BenchmarkTest00213,crypto,False,327,,,Weak Cryptography
BenchmarkTest00214,crypto,False,327,,,Weak Cryptography
BenchmarkTest00215,pathtraver,True,22,,,Path Traversal
BenchmarkTest00216,pathtraver,True,22,,,Path Traversal
BenchmarkTest00217,pathtraver,False,22,,,Path Traversal
BenchmarkTest00218,pathtraver,True,22,,,Path Traversal
BenchmarkTest00219,pathtraver,True,22,,,Path Traversal
BenchmarkTest00220,pathtraver,False,22,,,Path Traversal
BenchmarkTest00221,pathtraver,False,22,,,Path Traversal
BenchmarkTest00222,pathtraver,True,22,,,Path Traversal
BenchmarkTest00223,hash,True,328,,,Weak Hashing
BenchmarkTest00224,hash,False,328,,,Weak Hashing
BenchmarkTest00225,hash,False,328,,,Weak Hashing
BenchmarkTest00226,hash,True,328,,,Weak Hashing
BenchmarkTest00227,hash,True,328,,,Weak Hashing
BenchmarkTest00228,hash,False,328,,,Weak Hashing
BenchmarkTest00229,hash,False,328,,,Weak Hashing
BenchmarkTest00230,weakrand,True,330,,,Weak Randomness
BenchmarkTest00231,weakrand,True,330,,,Weak Randomness
BenchmarkTest00232,weakrand,True,330,,,Weak Randomness
BenchmarkTest00233,weakrand,True,330,,,Weak Randomness
BenchmarkTest00234,weakrand,True,330,,,Weak Randomness
BenchmarkTest00235,weakrand,True,330,,,Weak Randomness
BenchmarkTest00236,weakrand,True,330,,,Weak Randomness
BenchmarkTest00237,weakrand,True,330,,,Weak Randomness
BenchmarkTest00238,weakrand,True,330,,,Weak Randomness
BenchmarkTest00239,weakrand,True,330,,,Weak Randomness
BenchmarkTest00240,weakrand,True,330,,,Weak Randomness
BenchmarkTest00241,securecookie,True,614,,,Secure Cookie Flag
BenchmarkTest00242,securecookie,False,614,,,Secure Cookie Flag
BenchmarkTest00243,weakrand,False,330,,,Weak Randomness
BenchmarkTest00244,weakrand,False,330,,,Weak Randomness
BenchmarkTest00245,weakrand,False,330,,,Weak Randomness
BenchmarkTest00246,weakrand,False,330,,,Weak Randomness
BenchmarkTest00247,weakrand,False,330,,,Weak Randomness
BenchmarkTest00248,weakrand,False,330,,,Weak Randomness
BenchmarkTest00249,weakrand,False,330,,,Weak Randomness
BenchmarkTest00250,trustbound,False,501,,,Trust Boundary Violation
BenchmarkTest00251,trustbound,True,501,,,Trust Boundary Violation
BenchmarkTest00252,trustbound,False,501,,,Trust Boundary Violation
BenchmarkTest00253,trustbound,False,501,,,Trust Boundary Violation
BenchmarkTest00254,crypto,True,327,,,Weak Cryptography
BenchmarkTest00255,crypto,False,327,,,Weak Cryptography
BenchmarkTest00256,crypto,True,327,,,Weak Cryptography
BenchmarkTest00257,crypto,True,327,,,Weak Cryptography
BenchmarkTest00258,crypto,True,327,,,Weak Cryptography
BenchmarkTest00259,crypto,False,327,,,Weak Cryptography
BenchmarkTest00260,crypto,False,327,,,Weak Cryptography
BenchmarkTest00261,pathtraver,False,22,,,Path Traversal
BenchmarkTest00262,pathtraver,True,22,,,Path Traversal
BenchmarkTest00263,pathtraver,False,22,,,Path Traversal
BenchmarkTest00264,pathtraver,True,22,,,Path Traversal
BenchmarkTest00265,pathtraver,False,22,,,Path Traversal
BenchmarkTest00266,hash,True,328,,,Weak Hashing
BenchmarkTest00267,hash,True,328,,,Weak Hashing
BenchmarkTest00268,hash,True,328,,,Weak Hashing
BenchmarkTest00269,hash,True,328,,,Weak Hashing
BenchmarkTest00270,hash,False,328,,,Weak Hashing
BenchmarkTest00271,hash,False,328,,,Weak Hashing
BenchmarkTest00272,hash,True,328,,,Weak Hashing
BenchmarkTest00273,hash,True,328,,,Weak Hashing
BenchmarkTest00274,hash,True,328,,,Weak Hashing
BenchmarkTest00275,xss,False,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00276,xss,True,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00277,xss,False,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00278,xss,False,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00279,xss,True,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00280,xss,True,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00281,xss,False,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00282,xss,False,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00283,xss,False,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00284,xss,True,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00285,xss,False,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00286,xss,False,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00287,xss,True,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00288,xss,False,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00289,xss,False,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00290,xss,True,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00291,xss,True,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00292,xss,True,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00293,cmdi,True,78,,,Command Injection
BenchmarkTest00294,cmdi,True,78,,,Command Injection
BenchmarkTest00295,cmdi,True,78,,,Command Injection
BenchmarkTest00296,weakrand,True,330,,,Weak Randomness
BenchmarkTest00297,weakrand,True,330,,,Weak Randomness
BenchmarkTest00298,weakrand,True,330,,,Weak Randomness
BenchmarkTest00299,weakrand,True,330,,,Weak Randomness
BenchmarkTest00300,securecookie,True,614,,,Secure Cookie Flag
BenchmarkTest00301,xss,True,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00302,cmdi,True,78,,,Command Injection
BenchmarkTest00303,cmdi,True,78,,,Command Injection
BenchmarkTest00304,cmdi,True,78,,,Command Injection
BenchmarkTest00305,cmdi,False,78,,,Command Injection
BenchmarkTest00306,cmdi,True,78,,,Command Injection
BenchmarkTest00307,cmdi,False,78,,,Command Injection
BenchmarkTest00308,cmdi,False,78,,,Command Injection
BenchmarkTest00309,cmdi,False,78,,,Command Injection
BenchmarkTest00310,cmdi,False,78,,,Command Injection
BenchmarkTest00311,cmdi,True,78,,,Command Injection
BenchmarkTest00312,weakrand,False,330,,,Weak Randomness
BenchmarkTest00313,weakrand,False,330,,,Weak Randomness
BenchmarkTest00314,weakrand,False,330,,,Weak Randomness
BenchmarkTest00315,weakrand,False,330,,,Weak Randomness
BenchmarkTest00316,weakrand,False,330,,,Weak Randomness
BenchmarkTest00317,weakrand,False,330,,,Weak Randomness
BenchmarkTest00318,weakrand,False,330,,,Weak Randomness
BenchmarkTest00319,weakrand,False,330,,,Weak Randomness
BenchmarkTest00320,weakrand,False,330,,,Weak Randomness
BenchmarkTest00321,trustbound,True,501,,,Trust Boundary Violation
BenchmarkTest00322,trustbound,False,501,,,Trust Boundary Violation
BenchmarkTest00323,trustbound,False,501,,,Trust Boundary Violation
BenchmarkTest00324,trustbound,True,501,,,Trust Boundary Violation
BenchmarkTest00325,trustbound,True,501,,,Trust Boundary Violation
BenchmarkTest00326,trustbound,True,501,,,Trust Boundary Violation
BenchmarkTest00327,trustbound,True,501,,,Trust Boundary Violation
BenchmarkTest00328,sqli,True,89,,,SQL Injection
BenchmarkTest00329,sqli,False,89,,,SQL Injection
BenchmarkTest00330,sqli,False,89,,,SQL Injection
BenchmarkTest00331,sqli,False,89,,,SQL Injection
BenchmarkTest00332,sqli,False,89,,,SQL Injection
BenchmarkTest00333,sqli,False,89,,,SQL Injection
BenchmarkTest00334,sqli,False,89,,,SQL Injection
BenchmarkTest00335,sqli,True,89,,,SQL Injection
BenchmarkTest00336,sqli,False,89,,,SQL Injection
BenchmarkTest00337,sqli,True,89,,,SQL Injection
BenchmarkTest00338,sqli,False,89,,,SQL Injection
BenchmarkTest00339,sqli,True,89,,,SQL Injection
BenchmarkTest00340,sqli,False,89,,,SQL Injection
BenchmarkTest00341,sqli,True,89,,,SQL Injection
BenchmarkTest00342,sqli,True,89,,,SQL Injection
BenchmarkTest00343,sqli,False,89,,,SQL Injection
BenchmarkTest00344,sqli,False,89,,,SQL Injection
BenchmarkTest00345,crypto,False,327,,,Weak Cryptography
BenchmarkTest00346,hash,True,328,,,Weak Hashing
BenchmarkTest00347,weakrand,True,330,,,Weak Randomness
BenchmarkTest00348,securecookie,True,614,,,Secure Cookie Flag
BenchmarkTest00349,weakrand,False,330,,,Weak Randomness
BenchmarkTest00350,crypto,False,327,,,Weak Cryptography
BenchmarkTest00351,crypto,False,327,,,Weak Cryptography
BenchmarkTest00352,crypto,False,327,,,Weak Cryptography
BenchmarkTest00353,crypto,False,327,,,Weak Cryptography
BenchmarkTest00354,crypto,True,327,,,Weak Cryptography
BenchmarkTest00355,crypto,True,327,,,Weak Cryptography
BenchmarkTest00356,crypto,True,327,,,Weak Cryptography
BenchmarkTest00357,crypto,False,327,,,Weak Cryptography
BenchmarkTest00358,crypto,False,327,,,Weak Cryptography
BenchmarkTest00359,pathtraver,True,22,,,Path Traversal
BenchmarkTest00360,pathtraver,True,22,,,Path Traversal
BenchmarkTest00361,pathtraver,False,22,,,Path Traversal
BenchmarkTest00362,pathtraver,True,22,,,Path Traversal
BenchmarkTest00363,pathtraver,True,22,,,Path Traversal
BenchmarkTest00364,pathtraver,False,22,,,Path Traversal
BenchmarkTest00365,pathtraver,False,22,,,Path Traversal
BenchmarkTest00366,pathtraver,False,22,,,Path Traversal
BenchmarkTest00367,ldapi,False,90,,,LDAP Injection
BenchmarkTest00368,weakrand,True,330,,,Weak Randomness
BenchmarkTest00369,weakrand,True,330,,,Weak Randomness
BenchmarkTest00370,hash,False,328,,,Weak Hashing
BenchmarkTest00371,hash,True,328,,,Weak Hashing
BenchmarkTest00372,hash,True,328,,,Weak Hashing
BenchmarkTest00373,hash,False,328,,,Weak Hashing
BenchmarkTest00374,hash,True,328,,,Weak Hashing
BenchmarkTest00375,xss,True,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00376,xss,True,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00377,xss,False,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00378,xss,True,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00379,xss,False,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00380,xss,True,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00381,xss,False,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00382,xss,True,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00383,xss,True,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00384,xss,True,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00385,xss,True,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00386,xss,False,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00387,xss,True,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00388,xss,True,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00389,xss,False,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00390,xss,True,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00391,xss,False,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00392,xss,True,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00393,xss,False,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00394,xss,False,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00395,xss,True,79,,,XSS (Cross-Site Scripting)
BenchmarkTest00396,cmdi,False,78,,,Command Injection
BenchmarkTest00397,weakrand,True,330,,,Weak Randomness
BenchmarkTest00398,weakrand,True,330,,,Weak Randomness
BenchmarkTest00399,weakrand,True,330,,,Weak Randomness
BenchmarkTest00400,weakrand,True,330,,,Weak Randomness
BenchmarkTest00401,weakrand,True,330,,,Weak Randomness
BenchmarkTest00402,weakrand,True,330,,,Weak Randomness
BenchmarkTest00403,securecookie,True,614,,,Secure Cookie Flag
BenchmarkTest00404,securecookie,False,614,,,Secure Cookie Flag
BenchmarkTest00405,securecookie,False,614,,,Secure Cookie Flag
BenchmarkTest00406,cmdi,False,78,,,Command Injection
BenchmarkTest00407,cmdi,True,78,,,Command Injection
BenchmarkTest00408,cmdi,False,78,,,Command Injection
BenchmarkTest00409,cmdi,True,78,,,Command Injection
BenchmarkTest00410,cmdi,False,78,,,Command Injection
BenchmarkTest00411,cmdi,False,78,,,Command Injection
BenchmarkTest00412,cmdi,False,78,,,Command Injection
BenchmarkTest00413,weakrand,False,330,,,Weak Randomness
BenchmarkTest00414,weakrand,False,330,,,Weak Randomness
BenchmarkTest00415,weakrand,False,330,,,Weak Randomness
BenchmarkTest00416,weakrand,False,330,,,Weak Randomness
BenchmarkTest00417,weakrand,False,330,,,Weak Randomness
BenchmarkTest00418,weakrand,False,330,,,Weak Randomness
BenchmarkTest00419,weakrand,False,330,,,Weak Randomness
BenchmarkTest00420,weakrand,False,330,,,Weak Randomness
BenchmarkTest00421,weakrand,False,330,,,Weak Randomness
BenchmarkTest00422,weakrand,False,330,,,Weak Randomness
BenchmarkTest00423,weakrand,False,330,,,Weak Randomness
BenchmarkTest00424,trustbound,True,501,,,Trust Boundary Violation
BenchmarkTest00425,trustbound,True,501,,,Trust Boundary Violation
BenchmarkTest00426,trustbound,True,501,,,Trust Boundary Violation
BenchmarkTest00427,trustbound,True,501,,,Trust Boundary Violation
BenchmarkTest00428,sqli,True,89,,,SQL Injection
BenchmarkTest00429,sqli,True,89,,,SQL Injection
BenchmarkTest00430,sqli,False,89,,,SQL Injection
BenchmarkTest00431,sqli,True,89,,,SQL Injection
BenchmarkTest00432,sqli,False,89,,,SQL Injection
BenchmarkTest00433,sqli,True,89,,,SQL Injection
BenchmarkTest00434,sqli,True,89,,,SQL Injection
BenchmarkTest00435,sqli,True,89,,,SQL Injection
BenchmarkTest00436,sqli,False,89,,,SQL Injection
BenchmarkTest00437,sqli,False,89,,,SQL Injection
BenchmarkTest00438,sqli,True,89,,,SQL Injection
BenchmarkTest00439,sqli,True,89,,,SQL Injection
BenchmarkTest00440,sqli,False,89,,,SQL Injection
BenchmarkTest00441,sqli,True,89,,,SQL Injection
BenchmarkTest00442,xpathi,True,643,,,XPATH Injection
BenchmarkTest00443,crypto,False,327,,,Weak Cryptography
BenchmarkTest00444,crypto,False,327,,,Weak Cryptography
BenchmarkTest00445,crypto,True,327,,,Weak Cryptography
BenchmarkTest00446,crypto,True,327,,,Weak Cryptography
BenchmarkTest00447,crypto,False,327,,,Weak Cryptography
BenchmarkTest00448,crypto,True,327,,,Weak Cryptography
BenchmarkTest00449,crypto,True,327,,,Weak Cryptography
BenchmarkTest00450,crypto,False,327,,,Weak Cryptography
BenchmarkTest00451,crypto,False,327,,,Weak Cryptography
BenchmarkTest00452,pathtraver,True,22,,,Path Traversal
BenchmarkTest00453,pathtraver,True,22,,,Path Traversal
BenchmarkTest00454,pathtraver,False,22,,,Path Traversal
BenchmarkTest00455,pathtraver,True,22,,,Path Traversal
BenchmarkTest00456,pathtraver,True,22,,,Path Traversal
BenchmarkTest00457,pathtraver,True,22,,,Path Traversal
BenchmarkTest00458,pathtraver,False,22,,,Path Traversal
